Timestamp (UTC),Beijing co,Beijing no2,Beijing o3,Beijing pm10,Beijing pm25,Beijing so2,Beijing pressure,Beijing windSpeed,Beijing windBearing,Zhangjiakou co,Zhangjiakou no2,Zhangjiakou o3,Zhangjiakou pm10,Zhangjiakou pm25,Zhangjiakou so2,Zhangjiakou pressure,Zhangjiakou windSpeed,Zhangjiakou windBearing,Qinhuangdao co,Qinhuangdao no2,Qinhuangdao o3,Qinhuangdao pm10,Qinhuangdao pm25,Qinhuangdao so2,Qinhuangdao pressure,Qinhuangdao windSpeed,Qinhuangdao windBearing,Shijiazhuang co,Shijiazhuang no2,Shijiazhuang o3,Shijiazhuang pm10,Shijiazhuang pm25,Shijiazhuang so2,Shijiazhuang pressure,Shijiazhuang windSpeed,Shijiazhuang windBearing,Tianjin co,Tianjin no2,Tianjin o3,Tianjin pm10,Tianjin pm25,Tianjin so2,Tianjin pressure,Tianjin windSpeed,Tianjin windBearing
2017-04-26 14:00:00,325.7142857142857,39.6,59.142857142857146,49.23529411764706,15.972222222222221,2.6857142857142855,,,,559.2,23.8,79.2,57,24.2,13.4,,,,666.2,44.4,68.8,46.2,17.6,11.2,,,,644.625,47.125,59.875,83.125,34.125,24.5,,,,895.6521739130435,61.52173913043478,53.82608695652174,83.82608695652173,25.73913043478261,10.090909090909092,,,
2017-04-26 15:00:00,328.57142857142856,46.74285714285714,46.114285714285714,48.294117647058826,15.944444444444445,2.657142857142857,,,,611.2,29.6,66.4,63.2,27.6,13.6,,,,761.2,66,41,53.8,17.4,12,,,,715.625,65.375,37.875,123.25,35.125,25.5,,,,895.6521739130435,61.52173913043478,53.82608695652174,80.18181818181819,26.5,10.090909090909092,,,
2017-04-26 16:00:00,368.57142857142856,57.91428571428571,30.82857142857143,53.088235294117645,17.61111111111111,3.1714285714285713,,,,644,31.2,55.2,92,44.2,13.4,,,,879.4,91.4,16.6,77,22.2,19.8,,,,794.75,80.625,23.375,118.875,39,27.875,,,,986.9565217391304,66.65217391304348,41.65217391304348,87.8695652173913,30.91304347826087,13.727272727272727,,,
2017-04-26 17:00:00,391.42857142857144,62.542857142857144,23.685714285714287,54.72727272727273,29,3.5428571428571427,,,,594.6,27.2,56.2,76,31.2,12.4,,,,966.4,86.8,13,103.6,27.6,26,,,,843.375,84.5,17.875,125.5,39.625,26.625,,,,973.9130434782609,69.1304347826087,35.391304347826086,95.30434782608695,34.47826086956522,13.26086956521739,,,
2017-04-26 18:00:00,360,59.285714285714285,22.82857142857143,49.27272727272727,24.333333333333332,3.5428571428571427,,,,496.2,17.8,64.8,47.8,26,10.8,,,,1102.8,91.6,10.2,120.8,26.8,33.6,,,,994.625,87.625,15.25,136.25,39.5,26.5,,,,991.304347826087,74.26086956521739,23.130434782608695,86.8695652173913,33.82608695652174,15.391304347826088,,,
2017-04-26 19:00:00,314.2857142857143,58.17142857142857,22.914285714285715,47.696969696969695,21.194444444444443,3.7714285714285714,,,,474.4,14.8,68.6,40.6,21,10.4,,,,1160.8,84.8,16.6,115.4,27,33.4,,,,1129.875,85.25,15.5,139.5,40.625,28.875,,,,1026.0869565217392,79.08695652173913,15.130434782608695,87.43478260869566,36.21739130434783,17.52173913043478,,,
2017-04-26 20:00:00,317.14285714285717,55.05714285714286,25.65714285714286,45.15625,19.52777777777778,4.285714285714286,,,,478,14.2,66.8,39,16.8,10.6,,,,1158,78.2,22.6,96.8,23.4,34.2,,,,1344.75,81.5,17.75,130.25,38.875,27.125,,,,1026.0869565217392,77.69565217391305,14.73913043478261,87.6086956521739,40.95454545454545,16.956521739130434,,,
2017-04-26 21:00:00,329.4117647058824,55.05882352941177,24,42.515151515151516,18.65714285714286,4.264705882352941,,,,490.6,14.6,63,32.8,16.6,11,,,,1028.4,66,33.2,100,24.8,37.4,,,,1384.125,74.75,23.375,139.5,36.125,27.125,,,,1130.4347826086957,79.04347826086956,12.636363636363637,89.3913043478261,40.30434782608695,20.608695652173914,,,
2017-04-26 22:00:00,357.14285714285717,56.02857142857143,23.8,51.44117647058823,19.61111111111111,4.6,,,,548.2,15.6,62.6,33.6,16.2,11.4,,,,1035.6,65.8,35.4,90.4,27.8,33,,,,1305.5,69.375,27.25,135.375,34.875,27,,,,1243.4782608695652,78.95652173913044,12.545454545454545,86.3913043478261,43.869565217391305,22.782608695652176,,,
2017-04-26 23:00:00,428.57142857142856,53.714285714285715,27.285714285714285,59.5,23.11111111111111,5.771428571428571,,,,691.4,22.8,59.8,39.2,20,12.6,,,,1080.6,62.6,41.6,98.8,26.6,27,,,,1172.625,57.5,37.875,107.5,32.375,26.75,,,,1204.3478260869565,77.1304347826087,14.681818181818182,86.47826086956522,47.21739130434783,22.52173913043478,,,
2017-04-27 00:00:00,434.2857142857143,45.08571428571429,41.371428571428574,57.529411764705884,23.305555555555557,5.3428571428571425,,,,653.2,22.4,70.6,56.8,15,12.6,,,,986,60.2,51.8,86.8,23.2,26.2,,,,1066.375,48.625,48.375,118.5,31.125,27.625,,,,1139.1304347826087,70.21739130434783,22.869565217391305,87.34782608695652,44.08695652173913,19.434782608695652,,,
2017-04-27 01:00:00,351.42857142857144,31.885714285714286,61.05714285714286,47.75757575757576,20.22222222222222,4.257142857142857,,,,653.2,22.4,70.6,56.8,15,12.6,,,,986,60.2,51.8,86.8,23.2,26.2,,,,1066.375,48.625,48.375,118.5,31.125,27.625,,,,1043.4782608695652,57.56521739130435,39.52173913043478,85.34782608695652,40.391304347826086,14.652173913043478,,,
2017-04-27 02:00:00,277.14285714285717,19.8,81,34.21875,17.444444444444443,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,41.69565217391305,60.73913043478261,80.04545454545455,34.65217391304348,10.782608695652174,,,
2017-04-27 03:00:00,251.42857142857142,14.885714285714286,93.65714285714286,31.586206896551722,16.38235294117647,3.257142857142857,,,,479.4,17.2,116.8,65.2,8.6,18.8,,,,451.2,10.4,105.4,27.4,11,7.6,,,,576.5,17.625,87.375,53.5,20.875,11.5,,,,768.1818181818181,31.17391304347826,76.73913043478261,75.45454545454545,27.52173913043478,7.913043478260869,,,
2017-04-27 04:00:00,242.85714285714286,12.030303030303031,102.88571428571429,29.25925925925926,14.294117647058824,3.1142857142857143,,,,637.2,14.5,123.4,91.6,8.6,15,,,,405.6,10.6,110,22.2,7.6,7.4,,,,493.125,11.875,102.5,37.75,53.5,8.875,,,,731.8181818181819,24,90.3913043478261,60.34782608695652,22.434782608695652,6.818181818181818,,,
2017-04-27 05:00:00,231.42857142857142,10.8,110.3529411764706,27.958333333333332,12.727272727272727,3.057142857142857,,,,410,12.8,124.8,140.8,10.8,6.25,,,,408.6,9.8,114.8,22,6.8,7.8,,,,478.625,9.375,108.375,26.375,12.25,8.875,,,,695.4545454545455,18.82608695652174,100.52173913043478,52.608695652173914,20.434782608695652,5.904761904761905,,,
2017-04-27 06:00:00,217.14285714285714,10.714285714285714,111.74285714285715,37.03703703703704,16.235294117647058,3.1142857142857143,,,,405,11.25,125.8,98.6,8.2,21.2,,,,394.4,10,117,23.8,7,7.6,,,,440.875,9,112.75,22,9.625,8.375,,,,650,13.391304347826088,116.8695652173913,34.22222222222222,16.391304347826086,5.476190476190476,,,
